pubid,preferred,year,date,title,name,name_1,type,research_orgs,times_cited,recent_citations,score,country,state,city,latitude,longitude,country_code,state_code
pub.1139010213,"Ivermectin for Prevention and Treatment of COVID-19 Infection: A Systematic Review, Meta-analysis, and Trial Sequential Analysis to Inform Clinical Guidelines",2021,2021-06-21,American Journal of Therapeutics,Ulster Hospital,Wolters Kluwer,article,"[grid.1006.7,grid.416994.7]",54,54,30332,United Kingdom,,Dundonald,54.597011566162109,-5.8115139007568359,GB,
pub.1135061524,Safety and efficacy of an rAd26 and rAd5 vector-based heterologous prime-boost COVID-19 vaccine: an interim analysis of a randomised controlled phase 3 trial in Russia,2021,2021-02-02,The Lancet,Sechenov University,Elsevier,article,"[grid.77642.30,grid.494808.9,grid.415738.c,grid.448878.f]",623,623,28347,Russia,,Moscow,55.728057861328125,37.575000762939453,RU,
pub.1135061524,Safety and efficacy of an rAd26 and rAd5 vector-based heterologous prime-boost COVID-19 vaccine: an interim analysis of a randomised controlled phase 3 trial in Russia,2021,2021-02-02,The Lancet,Ministry of Health,Elsevier,article,"[grid.77642.30,grid.494808.9,grid.415738.c,grid.448878.f]",623,623,28347,Russia,,Moscow,55.765262603759766,37.618602752685547,RU,
pub.1135061524,Safety and efficacy of an rAd26 and rAd5 vector-based heterologous prime-boost COVID-19 vaccine: an interim analysis of a randomised controlled phase 3 trial in Russia,2021,2021-02-02,The Lancet,Peoples' Friendship University of Russia,Elsevier,article,"[grid.77642.30,grid.494808.9,grid.415738.c,grid.448878.f]",623,623,28347,Russia,,Moscow,55.650699615478516,37.5019416809082,RU,
pub.1135061524,Safety and efficacy of an rAd26 and rAd5 vector-based heterologous prime-boost COVID-19 vaccine: an interim analysis of a randomised controlled phase 3 trial in Russia,2021,2021-02-02,The Lancet,Ministry of Defence of the Russian Federation,Elsevier,article,"[grid.77642.30,grid.494808.9,grid.415738.c,grid.448878.f]",623,623,28347,Russia,,Moscow,55.750144958496094,37.6024055480957,RU,
pub.1142678035,COVID-19: stigmatising the unvaccinated is not justified,2021,2021-11-18,The Lancet,University of Greifswald,Elsevier,article,[grid.5603.0],0,0,26978,Germany,,Greifswald,54.094638824462891,13.374625205993652,DE,
pub.1133379610,Safety and Efficacy of the BNT162b2 mRNA Covid-19 Vaccine,2020,2020-12-10,New England Journal of Medicine,Pfizer (United States),Massachusetts Medical Society,article,[grid.410513.2],4772,4771,26443,United States,New York,New York,40.750362396240234,-73.972541809082031,US,US-NY
pub.1141511087,Increases in COVID-19 are unrelated to levels of vaccination across 68 countries and 2947 counties in the United States,2021,2021-09-30,European Journal of Epidemiology,Harvard University,Springer Nature,article,[grid.38142.3c],15,15,26226,United States,Massachusetts,Cambridge,42.377052307128906,-71.116653442382812,US,US-MA
pub.1125718014,Aerosol and Surface Stability of SARS-CoV-2 as Compared with SARS-CoV-1,2020,2020-03-17,New England Journal of Medicine,National Institute of Allergy and Infectious Diseases,Massachusetts Medical Society,article,"[grid.419681.3,grid.19006.3e,grid.16750.35,grid.416738.f]",5286,5282,25499,United States,Maryland,Bethesda,39.066646575927734,-77.111831665039062,US,US-MD
pub.1125718014,Aerosol and Surface Stability of SARS-CoV-2 as Compared with SARS-CoV-1,2020,2020-03-17,New England Journal of Medicine,Princeton University,Massachusetts Medical Society,article,"[grid.419681.3,grid.19006.3e,grid.16750.35,grid.416738.f]",5286,5282,25499,United States,New Jersey,Princeton,40.344234466552734,-74.6514663696289,US,US-NJ
pub.1125718014,Aerosol and Surface Stability of SARS-CoV-2 as Compared with SARS-CoV-1,2020,2020-03-17,New England Journal of Medicine,Centers for Disease Control and Prevention,Massachusetts Medical Society,article,"[grid.419681.3,grid.19006.3e,grid.16750.35,grid.416738.f]",5286,5282,25499,United States,Georgia,Atlanta,33.7988166809082,-84.325599670410156,US,US-GA
pub.1125718014,Aerosol and Surface Stability of SARS-CoV-2 as Compared with SARS-CoV-1,2020,2020-03-17,New England Journal of Medicine,"University of California, Los Angeles",Massachusetts Medical Society,article,"[grid.419681.3,grid.19006.3e,grid.16750.35,grid.416738.f]",5286,5282,25499,United States,California,Los Angeles,34.072223663330078,-118.44409942626953,US,US-CA
pub.1128115677,"Physical distancing, face masks, and eye protection to prevent person-to-person transmission of SARS-CoV-2 and COVID-19: a systematic review and meta-analysis",2020,2020-06-01,The Lancet,McMaster University,Elsevier,article,"[grid.25073.33,grid.22903.3a]",1910,1910,24526,Canada,Ontario,Hamilton,43.263332366943359,-79.918891906738281,CA,CA-ON
pub.1128115677,"Physical distancing, face masks, and eye protection to prevent person-to-person transmission of SARS-CoV-2 and COVID-19: a systematic review and meta-analysis",2020,2020-06-01,The Lancet,American University of Beirut,Elsevier,article,"[grid.25073.33,grid.22903.3a]",1910,1910,24526,Lebanon,,Beirut,33.901092529296875,35.481529235839844,LB,
pub.1132770156,"Post-lockdown SARS-CoV-2 nucleic acid screening in nearly ten million residents of Wuhan, China",2020,2020-11-20,Nature Communications,Huazhong University of Science and Technology,Springer Nature,article,"[grid.1018.8,grid.508241.a,grid.33199.31,grid.411864.e,grid.207374.5,grid.412793.a,grid.8273.e,grid.1008.9,grid.443397.e]",87,87,23397,China,,Wuhan,30.508182525634766,114.41474151611328,CN,
pub.1132770156,"Post-lockdown SARS-CoV-2 nucleic acid screening in nearly ten million residents of Wuhan, China",2020,2020-11-20,Nature Communications,La Trobe University,Springer Nature,article,"[grid.1018.8,grid.508241.a,grid.33199.31,grid.411864.e,grid.207374.5,grid.412793.a,grid.8273.e,grid.1008.9,grid.443397.e]",87,87,23397,Australia,Victoria,Melbourne,-37.7217903137207,145.04791259765625,AU,AU-VIC
pub.1132770156,"Post-lockdown SARS-CoV-2 nucleic acid screening in nearly ten million residents of Wuhan, China",2020,2020-11-20,Nature Communications,University of Melbourne,Springer Nature,article,"[grid.1018.8,grid.508241.a,grid.33199.31,grid.411864.e,grid.207374.5,grid.412793.a,grid.8273.e,grid.1008.9,grid.443397.e]",87,87,23397,Australia,Victoria,Melbourne,-37.797115325927734,144.95997619628906,AU,AU-VIC
pub.1132770156,"Post-lockdown SARS-CoV-2 nucleic acid screening in nearly ten million residents of Wuhan, China",2020,2020-11-20,Nature Communications,Jiangxi Science and Technology Normal University,Springer Nature,article,"[grid.1018.8,grid.508241.a,grid.33199.31,grid.411864.e,grid.207374.5,grid.412793.a,grid.8273.e,grid.1008.9,grid.443397.e]",87,87,23397,China,,Nanchang,28.664638519287109,115.82196807861328,CN,
pub.1132770156,"Post-lockdown SARS-CoV-2 nucleic acid screening in nearly ten million residents of Wuhan, China",2020,2020-11-20,Nature Communications,Zhengzhou University,Springer Nature,article,"[grid.1018.8,grid.508241.a,grid.33199.31,grid.411864.e,grid.207374.5,grid.412793.a,grid.8273.e,grid.1008.9,grid.443397.e]",87,87,23397,China,,Zhengzhou,34.816024780273438,113.5357666015625,CN,
pub.1132770156,"Post-lockdown SARS-CoV-2 nucleic acid screening in nearly ten million residents of Wuhan, China",2020,2020-11-20,Nature Communications,Tongji Hospital,Springer Nature,article,"[grid.1018.8,grid.508241.a,grid.33199.31,grid.411864.e,grid.207374.5,grid.412793.a,grid.8273.e,grid.1008.9,grid.443397.e]",87,87,23397,China,,Wuhan,30.578750610351562,114.26175689697266,CN,
pub.1132770156,"Post-lockdown SARS-CoV-2 nucleic acid screening in nearly ten million residents of Wuhan, China",2020,2020-11-20,Nature Communications,Hainan Medical University,Springer Nature,article,"[grid.1018.8,grid.508241.a,grid.33199.31,grid.411864.e,grid.207374.5,grid.412793.a,grid.8273.e,grid.1008.9,grid.443397.e]",87,87,23397,China,,Haikou,19.981660842895508,110.33306121826172,CN,
pub.1132770156,"Post-lockdown SARS-CoV-2 nucleic acid screening in nearly ten million residents of Wuhan, China",2020,2020-11-20,Nature Communications,Wuhan Municipal Health Commission,Springer Nature,article,"[grid.1018.8,grid.508241.a,grid.33199.31,grid.411864.e,grid.207374.5,grid.412793.a,grid.8273.e,grid.1008.9,grid.443397.e]",87,87,23397,China,,Jiang’an Qu,30.588815689086914,114.27989196777344,CN,
pub.1132770156,"Post-lockdown SARS-CoV-2 nucleic acid screening in nearly ten million residents of Wuhan, China",2020,2020-11-20,Nature Communications,University of East Anglia,Springer Nature,article,"[grid.1018.8,grid.508241.a,grid.33199.31,grid.411864.e,grid.207374.5,grid.412793.a,grid.8273.e,grid.1008.9,grid.443397.e]",87,87,23397,United Kingdom,Norfolk,Norwich,52.621665954589844,1.2416670322418213,GB,GB-NFK
pub.1142695987,The epidemiological relevance of the COVID-19-vaccinated population is increasing,2021,2021-11-20,The Lancet Regional Health - Europe,University of Greifswald,Elsevier,article,[grid.5603.0],1,1,23367,Germany,,Greifswald,54.094638824462891,13.374625205993652,DE,
pub.1127834352,RETRACTED: Hydroxychloroquine or chloroquine with or without a macrolide for treatment of COVID-19: a multinational registry analysis,2020,2020-05-22,The Lancet,University Hospital of Zurich,Elsevier,article,"[grid.62560.37,grid.223827.e,grid.38142.3c,grid.414420.7,grid.412004.3]",670,670,22819,Switzerland,,Zurich,47.376667022705078,8.5497217178344727,CH,
pub.1127834352,RETRACTED: Hydroxychloroquine or chloroquine with or without a macrolide for treatment of COVID-19: a multinational registry analysis,2020,2020-05-22,The Lancet,Hospital Corporation of America,Elsevier,article,"[grid.62560.37,grid.223827.e,grid.38142.3c,grid.414420.7,grid.412004.3]",670,670,22819,United States,Tennessee,Nashville,36.153732299804688,-86.813774108886719,US,US-TN
pub.1127834352,RETRACTED: Hydroxychloroquine or chloroquine with or without a macrolide for treatment of COVID-19: a multinational registry analysis,2020,2020-05-22,The Lancet,Harvard University,Elsevier,article,"[grid.62560.37,grid.223827.e,grid.38142.3c,grid.414420.7,grid.412004.3]",670,670,22819,United States,Massachusetts,Cambridge,42.377052307128906,-71.116653442382812,US,US-MA
pub.1127834352,RETRACTED: Hydroxychloroquine or chloroquine with or without a macrolide for treatment of COVID-19: a multinational registry analysis,2020,2020-05-22,The Lancet,Brigham and Women's Hospital,Elsevier,article,"[grid.62560.37,grid.223827.e,grid.38142.3c,grid.414420.7,grid.412004.3]",670,670,22819,United States,Massachusetts,Boston,42.335601806640625,-71.106414794921875,US,US-MA
pub.1127834352,RETRACTED: Hydroxychloroquine or chloroquine with or without a macrolide for treatment of COVID-19: a multinational registry analysis,2020,2020-05-22,The Lancet,University of Utah,Elsevier,article,"[grid.62560.37,grid.223827.e,grid.38142.3c,grid.414420.7,grid.412004.3]",670,670,22819,United States,Utah,Salt Lake City,40.764961242675781,-111.84214782714844,US,US-UT
pub.1137233109,Ten scientific reasons in support of airborne transmission of SARS-CoV-2,2021,2021-04-15,The Lancet,University of North Carolina System,Elsevier,article,"[grid.4991.5,grid.266190.a,grid.410711.2,grid.17063.33,grid.266100.3]",225,225,21585,United States,North Carolina,Chapel Hill,35.904914855957031,-79.046920776367188,US,US-NC
pub.1137233109,Ten scientific reasons in support of airborne transmission of SARS-CoV-2,2021,2021-04-15,The Lancet,"University of California, San Diego",Elsevier,article,"[grid.4991.5,grid.266190.a,grid.410711.2,grid.17063.33,grid.266100.3]",225,225,21585,United States,California,San Diego,32.881000518798828,-117.23799896240234,US,US-CA
pub.1137233109,Ten scientific reasons in support of airborne transmission of SARS-CoV-2,2021,2021-04-15,The Lancet,University of Toronto,Elsevier,article,"[grid.4991.5,grid.266190.a,grid.410711.2,grid.17063.33,grid.266100.3]",225,225,21585,Canada,Ontario,Toronto,43.661666870117188,-79.3949966430664,CA,CA-ON
pub.1137233109,Ten scientific reasons in support of airborne transmission of SARS-CoV-2,2021,2021-04-15,The Lancet,University of Oxford,Elsevier,article,"[grid.4991.5,grid.266190.a,grid.410711.2,grid.17063.33,grid.266100.3]",225,225,21585,United Kingdom,Oxfordshire,Oxford,51.753437042236328,-1.25400972366333,GB,GB-OXF
pub.1137233109,Ten scientific reasons in support of airborne transmission of SARS-CoV-2,2021,2021-04-15,The Lancet,University of Colorado Boulder,Elsevier,article,"[grid.4991.5,grid.266190.a,grid.410711.2,grid.17063.33,grid.266100.3]",225,225,21585,United States,Colorado,Boulder,40.007366180419922,-105.2652587890625,US,US-CO
pub.1126104118,The FDA-approved drug ivermectin inhibits the replication of SARS-CoV-2 in vitro,2020,2020-04-03,Antiviral Research,Monash University,Elsevier,article,[grid.1002.3],1069,1068,21504,Australia,Victoria,Melbourne,-37.908298492431641,145.13800048828125,AU,AU-VIC
pub.1128424445,Identifying airborne transmission as the dominant route for the spread of COVID-19,2020,2020-06-11,Proceedings of the National Academy of Sciences of the United States of America,Texas A&M University,Proceedings of the National Academy of Sciences,article,"[grid.264756.4,grid.20861.3d,grid.89336.37,grid.266100.3]",601,601,21317,United States,Texas,College Station,30.610368728637695,-96.34405517578125,US,US-TX
pub.1128424445,Identifying airborne transmission as the dominant route for the spread of COVID-19,2020,2020-06-11,Proceedings of the National Academy of Sciences of the United States of America,"University of California, San Diego",Proceedings of the National Academy of Sciences,article,"[grid.264756.4,grid.20861.3d,grid.89336.37,grid.266100.3]",601,601,21317,United States,California,San Diego,32.881000518798828,-117.23799896240234,US,US-CA
pub.1128424445,Identifying airborne transmission as the dominant route for the spread of COVID-19,2020,2020-06-11,Proceedings of the National Academy of Sciences of the United States of America,The University of Texas at Austin,Proceedings of the National Academy of Sciences,article,"[grid.264756.4,grid.20861.3d,grid.89336.37,grid.266100.3]",601,601,21317,United States,Texas,Austin,30.286140441894531,-97.739418029785156,US,US-TX
pub.1128424445,Identifying airborne transmission as the dominant route for the spread of COVID-19,2020,2020-06-11,Proceedings of the National Academy of Sciences of the United States of America,California Institute of Technology,Proceedings of the National Academy of Sciences,article,"[grid.264756.4,grid.20861.3d,grid.89336.37,grid.266100.3]",601,601,21317,United States,California,Pasadena,34.138576507568359,-118.12549591064453,US,US-CA
pub.1140083857,"Outbreak of SARS-CoV-2 Infections, Including COVID-19 Vaccine Breakthrough Infections, Associated with Large Public Gatherings — Barnstable County, Massachusetts, July 2021",2021,2021-08-06,MMWR Morbidity and Mortality Weekly Report,Massachusetts Department of Public Health,Centers for Disease Control MMWR Office,article,[grid.416511.6],170,170,21011,United States,Massachusetts,Boston,42.358070373535156,-71.0577163696289,US,US-MA
pub.1126105928,Respiratory virus shedding in exhaled breath and efficacy of face masks,2020,2020-04-03,Nature Medicine,Queen Mary Hospital,Springer Nature,article,"[grid.194645.b,grid.415550.0,grid.38142.3c,grid.460833.a,grid.164295.d]",1158,1157,20968,China,Hong Kong,Hong Kong,22.270059585571289,114.13114929199219,CN,CN-91
pub.1126105928,Respiratory virus shedding in exhaled breath and efficacy of face masks,2020,2020-04-03,Nature Medicine,University of Hong Kong,Springer Nature,article,"[grid.194645.b,grid.415550.0,grid.38142.3c,grid.460833.a,grid.164295.d]",1158,1157,20968,China,Hong Kong,Hong Kong,22.283287048339844,114.13707733154297,CN,CN-91
pub.1126105928,Respiratory virus shedding in exhaled breath and efficacy of face masks,2020,2020-04-03,Nature Medicine,"University of Maryland, College Park",Springer Nature,article,"[grid.194645.b,grid.415550.0,grid.38142.3c,grid.460833.a,grid.164295.d]",1158,1157,20968,United States,Maryland,College Park,38.983047485351562,-76.941864013671875,US,US-MD
pub.1126105928,Respiratory virus shedding in exhaled breath and efficacy of face masks,2020,2020-04-03,Nature Medicine,Hong Kong Baptist Hospital,Springer Nature,article,"[grid.194645.b,grid.415550.0,grid.38142.3c,grid.460833.a,grid.164295.d]",1158,1157,20968,China,,Hong Kong,22.339624404907227,114.18015289306641,CN,
pub.1126105928,Respiratory virus shedding in exhaled breath and efficacy of face masks,2020,2020-04-03,Nature Medicine,Harvard University,Springer Nature,article,"[grid.194645.b,grid.415550.0,grid.38142.3c,grid.460833.a,grid.164295.d]",1158,1157,20968,United States,Massachusetts,Cambridge,42.377052307128906,-71.116653442382812,US,US-MA
pub.1137352852,Preliminary Findings of mRNA Covid-19 Vaccine Safety in Pregnant Persons,2021,2021-04-21,New England Journal of Medicine,Center for Biologics Evaluation and Research,Massachusetts Medical Society,article,[grid.290496.0],225,225,19916,United States,Maryland,Silver Spring,39.035507202148438,-76.9828109741211,US,US-MD
pub.1132052395,Informed consent disclosure to vaccine trial subjects of risk of COVID‐19 vaccines worsening clinical disease,2020,2020-12-04,International Journal of Clinical Practice,Tulane University,Wiley,article,"[grid.240324.3,grid.265219.b]",8,8,19856,United States,Louisiana,New Orleans,29.939493179321289,-90.122276306152344,US,US-LA
pub.1132052395,Informed consent disclosure to vaccine trial subjects of risk of COVID‐19 vaccines worsening clinical disease,2020,2020-12-04,International Journal of Clinical Practice,New York University Langone Medical Center,Wiley,article,"[grid.240324.3,grid.265219.b]",8,8,19856,United States,New York,New York,40.741970062255859,-73.974029541015625,US,US-NY
pub.1132837551,Facemasks in the COVID-19 era: A health hypothesis,2020,2020-11-22,Medical Hypotheses,Stanford University,Elsevier,article,[grid.168010.e],10,10,19796,United States,California,Stanford,37.430000305175781,-122.16999816894531,US,US-CA
pub.1128249398,Retraction—Hydroxychloroquine or chloroquine with or without a macrolide for treatment of COVID-19: a multinational registry analysis,2020,2020-06-05,The Lancet,University of Utah,Elsevier,article,"[grid.414420.7,grid.38142.3c,grid.62560.37,grid.223827.e,grid.412004.3]",357,357,19525,United States,Utah,Salt Lake City,40.764961242675781,-111.84214782714844,US,US-UT
pub.1128249398,Retraction—Hydroxychloroquine or chloroquine with or without a macrolide for treatment of COVID-19: a multinational registry analysis,2020,2020-06-05,The Lancet,Hospital Corporation of America,Elsevier,article,"[grid.414420.7,grid.38142.3c,grid.62560.37,grid.223827.e,grid.412004.3]",357,357,19525,United States,Tennessee,Nashville,36.153732299804688,-86.813774108886719,US,US-TN
pub.1128249398,Retraction—Hydroxychloroquine or chloroquine with or without a macrolide for treatment of COVID-19: a multinational registry analysis,2020,2020-06-05,The Lancet,Harvard University,Elsevier,article,"[grid.414420.7,grid.38142.3c,grid.62560.37,grid.223827.e,grid.412004.3]",357,357,19525,United States,Massachusetts,Cambridge,42.377052307128906,-71.116653442382812,US,US-MA
pub.1128249398,Retraction—Hydroxychloroquine or chloroquine with or without a macrolide for treatment of COVID-19: a multinational registry analysis,2020,2020-06-05,The Lancet,Brigham and Women's Hospital,Elsevier,article,"[grid.414420.7,grid.38142.3c,grid.62560.37,grid.223827.e,grid.412004.3]",357,357,19525,United States,Massachusetts,Boston,42.335601806640625,-71.106414794921875,US,US-MA
pub.1128249398,Retraction—Hydroxychloroquine or chloroquine with or without a macrolide for treatment of COVID-19: a multinational registry analysis,2020,2020-06-05,The Lancet,University Hospital of Zurich,Elsevier,article,"[grid.414420.7,grid.38142.3c,grid.62560.37,grid.223827.e,grid.412004.3]",357,357,19525,Switzerland,,Zurich,47.376667022705078,8.5497217178344727,CH,
pub.1126667003,Projecting the transmission dynamics of SARS-CoV-2 through the postpandemic period,2020,2020-04-14,Science,Harvard University,American Association for the Advancement of Science (AAAS),article,[grid.38142.3c],1717,1716,18900,United States,Massachusetts,Cambridge,42.377052307128906,-71.116653442382812,US,US-MA
pub.1142236059,"Community transmission and viral load kinetics of the SARS-CoV-2 delta (B.1.617.2) variant in vaccinated and unvaccinated individuals in the UK: a prospective, longitudinal, cohort study",2021,2021-10-29,The Lancet Infectious Diseases,University of Oxford,Elsevier,article,"[grid.462482.e,grid.271308.f,grid.511288.7,grid.4991.5,grid.7445.2]",53,53,18426,United Kingdom,Oxfordshire,Oxford,51.753437042236328,-1.25400972366333,GB,GB-OXF
pub.1142236059,"Community transmission and viral load kinetics of the SARS-CoV-2 delta (B.1.617.2) variant in vaccinated and unvaccinated individuals in the UK: a prospective, longitudinal, cohort study",2021,2021-10-29,The Lancet Infectious Diseases,Imperial College London,Elsevier,article,"[grid.462482.e,grid.271308.f,grid.511288.7,grid.4991.5,grid.7445.2]",53,53,18426,United Kingdom,Westminster,London,51.498600006103516,-0.175477996468544,GB,GB-WSM
pub.1142236059,"Community transmission and viral load kinetics of the SARS-CoV-2 delta (B.1.617.2) variant in vaccinated and unvaccinated individuals in the UK: a prospective, longitudinal, cohort study",2021,2021-10-29,The Lancet Infectious Diseases,Public Health England,Elsevier,article,"[grid.462482.e,grid.271308.f,grid.511288.7,grid.4991.5,grid.7445.2]",53,53,18426,United Kingdom,,London,51.691043853759766,-0.11340100318193436,GB,
pub.1142236059,"Community transmission and viral load kinetics of the SARS-CoV-2 delta (B.1.617.2) variant in vaccinated and unvaccinated individuals in the UK: a prospective, longitudinal, cohort study",2021,2021-10-29,The Lancet Infectious Diseases,Manchester Academic Health Science Centre,Elsevier,article,"[grid.462482.e,grid.271308.f,grid.511288.7,grid.4991.5,grid.7445.2]",53,53,18426,United Kingdom,,Manchester,53.463275909423828,-2.2384340763092041,GB,
pub.1142236059,"Community transmission and viral load kinetics of the SARS-CoV-2 delta (B.1.617.2) variant in vaccinated and unvaccinated individuals in the UK: a prospective, longitudinal, cohort study",2021,2021-10-29,The Lancet Infectious Diseases,London Biofoundry,Elsevier,article,"[grid.462482.e,grid.271308.f,grid.511288.7,grid.4991.5,grid.7445.2]",53,53,18426,United Kingdom,,London,51.515777587890625,-0.22449059784412384,GB,
pub.1137340253,COVID-19 vaccine efficacy and effectiveness—the elephant (not) in the room,2021,2021-04-20,The Lancet Microbe,University of Oxford,Elsevier,article,"[grid.451012.3,grid.83440.3b,grid.4991.5]",48,48,18180,United Kingdom,Oxfordshire,Oxford,51.753437042236328,-1.25400972366333,GB,GB-OXF
pub.1137340253,COVID-19 vaccine efficacy and effectiveness—the elephant (not) in the room,2021,2021-04-20,The Lancet Microbe,University College London,Elsevier,article,"[grid.451012.3,grid.83440.3b,grid.4991.5]",48,48,18180,United Kingdom,,London,51.524471282958984,-0.13398170471191406,GB,
pub.1137340253,COVID-19 vaccine efficacy and effectiveness—the elephant (not) in the room,2021,2021-04-20,The Lancet Microbe,Luxembourg Institute of Health,Elsevier,article,"[grid.451012.3,grid.83440.3b,grid.4991.5]",48,48,18180,Luxembourg,,Strassen,49.619960784912109,6.095944881439209,LU,
pub.1134321239,Assessing mandatory stay‐at‐home and business closure effects on the spread of COVID‐19,2021,2021-02,European Journal of Clinical Investigation,Stanford University,Wiley,article,[grid.168010.e],74,74,18165,United States,California,Stanford,37.430000305175781,-122.16999816894531,US,US-CA
pub.1126094786,"COVID-19 Outbreak Associated with Air Conditioning in Restaurant, Guangzhou, China, 2020",2020,2020-04-02,Emerging Infectious Diseases,Guangzhou Center for Disease Control and Prevention,Centers for Disease Control and Prevention (CDC),article,[grid.508371.8],502,502,17619,China,,Guangzhou,23.230728149414062,113.2877197265625,CN,
pub.1139835539,Effectiveness of Covid-19 Vaccines against the B.1.617.2 (Delta) Variant,2021,2021-07-21,New England Journal of Medicine,Royal Marsden Hospital,Massachusetts Medical Society,article,[grid.424926.f],677,677,17440,United Kingdom,,London,51.491279602050781,-0.17258299887180328,GB,
